t,S,E,I,H,C,R,D
129.75,4921613.796,98575.45492,59296.39264,7202.492655,3587.917439,405038.0249,4685.921116
130,4916496.759,99567.9969,59701.75462,7256.741367,3616.842023,408628.9709,4730.934721
130.25,4911353.543,100538.4941,60130.21531,7311.150164,3645.933478,412244.3534,4776.310958
130.5,4906838.51,100855.6068,60557.0808,7365.88123,3675.188133,415885.6817,4822.051898
130.75,4902270.069,101216.8649,60966.23578,7420.930424,3704.609912,419553.1309,4868.159589
131,4897032.76,102217.6417,61379.79361,7476.091049,3734.198746,423244.8788,4914.636121
131.25,4891787.159,103181.4745,61812.00268,7531.523247,3763.950573,426962.406,4961.483599
131.5,4887160.82,103500.3943,62242.62478,7587.271355,3793.868603,430706.3168,5008.704031
131.75,4882485.033,103859.0345,62656.35184,7643.265801,3823.952608,434476.0623,5056.299528
132,4877124.123,104872.9992,63074.37707,7699.389736,3854.201878,438270.6368,5104.272147
132.25,4871757.265,105847.1917,63511.55971,7755.742927,3884.613932,442091.0026,5152.623969
132.5,4867023.186,106162.8243,63946.78537,7812.42674,3915.189722,445938.2307,5201.357004
132.75,4862240.486,106517.5512,64364.70476,7869.339705,3945.930471,449811.5146,5250.473325
133,4856756.596,107543.4874,64786.84071,7926.372511,3976.834603,453709.8942,5299.974992
133.25,4851235.933,108558.2129,65230.21232,7983.617406,4007.899677,457634.2604,5349.864038
133.5,4846400.585,108860.3355,65672.87098,8041.18532,4039.125975,461585.7543,5400.142474
133.75,4841546.744,109174.6386,66094.38045,8099.010031,4070.514891,465563.8997,5450.81232
134,4835943.926,110210.4071,66516.87126,8156.990436,4102.066643,469567.8628,5501.875615
134.25,4830291.129,111246.6125,66962.57549,8215.10264,4133.779248,473597.4664,5553.334396
134.5,4825335.383,111557.0887,67409.151,8273.487576,4165.650137,477654.0492,5605.190664
134.75,4820375.472,111865.3169,67834.14648,8332.150959,4197.680136,481737.7867,5657.446403
135,4814655.266,112906.388,68259.92647,8390.951614,4229.870334,485847.4941,5710.103595
135.25,4808877.397,113955.3349,68708.89212,8449.879828,4262.21837,489983.1138,5763.164251
135.5,4803793.704,114281.0052,69158.79119,8509.084606,4294.721848,494146.0631,5816.630339
135.75,4798712.16,114596.1731,69589.20208,8568.521123,4327.382063,498336.0581,5870.503802
136,4792892.07,115623.0192,70019.55395,8628.093074,4360.198302,502552.2792,5924.786597
136.25,4786993.25,116680.6656,70470.5581,8687.829356,4393.168972,506795.0471,5979.480676
136.5,4781794.439,117008.6013,70922.95909,8747.822845,4426.293162,511065.2967,6034.587967
136.75,4776586.98,117335.8467,71356.85114,8808.01915,4459.57104,515362.6218,6090.110393
137,4770637.926,118376.5316,71791.89763,8868.330646,4493.001232,519686.2628,6146.049872
137.25,4764629.574,119428.772,72246.93372,8928.82545,4526.582184,524036.9042,6202.408304
137.5,4759335.741,119736.9775,72703.06366,8989.559764,4560.313665,528415.1565,6259.187576
137.75,4754045.374,120034.0831,73138.68677,9050.498482,4594.195219,532820.7734,6316.38957
138,4747986.454,121073.1225,73573.66066,9111.549844,4628.226036,537252.9705,6374.016163
138.25,4741864.611,122126.4679,74029.66064,9172.74116,4662.404394,541712.0455,6432.069215
138.5,4736467.465,122425.8262,74486.46203,9234.153856,4696.729064,546198.8134,6490.550571
138.75,4731084.646,122704.4227,74921.55764,9295.746511,4731.199557,550712.9652,6549.462059
139,4724899.207,123759.0066,75355.96323,9357.433566,4765.814986,555253.7692,6608.805497
139.25,4718657.54,124818.9517,75813.8042,9419.222121,4800.573401,559821.3259,6668.582698
139.5,4713182.802,125083.8309,76271.28681,9481.213876,4835.472266,564416.5983,6728.795439
139.75,4707691.227,125361.0134,76704.78311,9543.40252,4870.51164,569039.6167,6789.445482
140,4701367.772,126442.0373,77139.30894,9605.633163,4905.691429,573689.0226,6850.534573
140.25,4695011.169,127504.9195,77597.86879,9667.931368,4941.008033,578365.0387,6912.064468
140.5,4689434.789,127759.8749,78055.41035,9730.437882,4976.459046,583068.9915,6974.036872
140.75,4683847.358,128021.7795,78488.55845,9793.121364,5012.044895,587800.684,7036.453458
141,4677418.464,129097.5696,78922.29151,9855.829605,5047.764943,592558.7643,7099.315913
141.25,4670948.497,130162.9424,79380.31801,9918.584474,5083.615609,597343.4171,7162.625911
141.5,4665277.412,130401.9369,79837.14422,9981.53081,5119.594268,602155.9965,7226.385077
141.75,4659588.634,130655.3008,80268.8474,10044.6359,5155.701228,606996.2856,7290.595005
142,4653041.559,131739.3105,80701.30348,10107.74392,5191.93572,611862.8905,7355.257299
142.25,4646459.059,132807.1262,81158.26224,10170.87891,5228.293961,616756.0064,7420.37355
142.5,4640686.42,133037.7636,81613.92188,10234.18682,5264.773176,621676.9889,7485.945296
142.75,4634905.291,133274.1205,82043.98795,10297.63547,5301.373535,626625.6176,7551.974044
143,4628255.183,134352.381,82474.34529,10361.06666,5338.094158,631600.469,7618.461306
143.25,4621567.016,135416.9137,82929.51189,10424.50313,5374.931081,636601.7158,7685.408583
143.5,4615707.965,135625.4917,83383.01026,10488.09465,5411.881356,641630.7401,7752.817318
143.75,4609830.846,135850.2153,83810.20702,10551.80661,5448.945065,646687.2911,7820.688924
144,4603071.25,136930.4471,84237.76826,10615.47812,5486.121172,651769.9109,7889.024815
144.25,4596273.817,137996.7868,84690.25844,10679.13307,5523.405536,656878.7732,7957.826393
144.5,4590315.73,138197.2541,85140.93942,10742.92279,5560.795039,662015.2642,8027.095001
144.75,4584350.275,138404.3903,85564.23539,10806.8172,5598.289412,667179.1602,8096.831947
145,4577481.559,139485.9442,85990.21458,10870.62505,5635.888142,672368.7301,8167.038541
145.25,4570624.121,140506.6541,86439.08411,10934.40646,5673.585444,677584.4329,8237.716082
145.5,4564586.662,140683.8558,86882.60413,10998.37419,5711.379557,682828.2588,8308.865783
145.75,4558498.353,140909.1512,87302.05059,11062.31939,5749.271977,688098.3653,8380.48886
146,4551531.812,141984.1203,87724.17698,11126.15936,5787.25725,693393.8872,8452.586545
146.25,4544571.527,143003.3444,88169.03553,11189.98437,5825.331738,698715.6168,8525.159968
146.5,4538450.684,143160.3,88608.41277,11253.94385,5863.493857,704064.9551,8598.210248
146.75,4532275.044,143370.1303,89022.79084,11317.89715,5901.743972,709440.6551,8671.738469
147,4525213.101,144438.1209,89439.96975,11381.69776,5940.077864,714841.2875,8745.745746
147.25,4518156.777,145451.2949,89879.82276,11445.46911,5978.490699,720267.9129,8820.233093
147.5,4511950.412,145592.1723,90314.04587,11509.34978,6016.981356,725721.8373,8895.20149
147.75,4505692.523,145783.2843,90723.00978,11573.19788,6055.549721,731201.7838,8970.651917
148,4498543.24,146838.3787,91134.37088,11636.87211,6094.191503,736706.3614,9046.585342
148.25,4491398.144,147840.7368,91568.02758,11700.50238,6132.901862,742236.6852,9123.002658
148.5,4485112.707,147961.5305,91996.06439,11764.21083,6171.679737,747793.903,9199.904713
148.75,4478776.532,148132.7406,92398.30422,11827.85886,6210.524511,753376.7478,9277.29236
149,4471539.594,149177.8297,92802.8202,11891.30827,6249.431849,758983.8491,9355.166427
149.25,4464308.195,150169.2276,93229.68825,11954.68555,6288.396745,764616.2787,9433.527674
149.5,4457946.629,150269.5562,93650.68319,12018.11791,6327.417949,770275.2192,9512.376809
149.75,4451536.064,150419.3966,94045.51894,12081.46187,6366.494771,775959.3488,9591.714546
150,4444217.294,151451.3459,94442.31034,12144.5815,6405.622619,781667.3038,9671.54157
150.25,4436904.509,152429.7156,94861.3374,12207.60641,6444.796461,787400.1769,9751.858496
150.5,4430471.517,152507.7204,95274.34384,12270.65736,6484.014946,793159.0804,9832.665889
150.75,4423990.526,152635.2392,95660.71361,12333.59196,6523.27711,798942.6876,9913.964314
151,4416592.94,153653.9607,96048.86341,12396.27477,6562.578249,804749.6285,9995.754309
151.25,4409202.631,154618.3231,96459.28905,12458.83433,6601.913165,810580.9734,10078.03634
151.5,4402702.192,154673.0487,96863.42301,12521.39445,6641.280355,816437.8509,10160.81081
151.75,4396154.938,154777.0667,97240.53534,12583.80947,6680.678752,822318.8933,10244.07813
152,4388684.113,155780.1196,97619.15662,12645.94469,6720.103449,828222.7235,10327.83869
152.25,4381221.417,156728.5916,98020.00038,12707.93049,6759.549157,834150.4184,10412.09279
152.5,4374658.317,156758.5311,98414.33656,12769.88815,6799.01426,840103.0719,10496.84068
152.75,4368049.274,156837.9528,98781.21992,12831.67187,6838.497494,846079.301,10582.08261
153,4360509.167,157824.7514,99149.40888,12893.14654,6877.993826,852077.7131,10667.8188
153.25,4352978.887,158755.9118,99539.83727,12954.44274,6917.497808,858099.3738,10754.04938
153.5,4346360.382,158757.3145,99923.44851,13015.68428,6957.007693,864145.3886,10840.77444
153.75,4339694.047,158811.469,100278.8777,13076.72551,6996.52213,870214.3646,10927.99405
154,4332086.848,159783.4553,100635.7069,13137.42312,7036.036025,876304.8229,11015.70828
154.25,4324492.91,160696.8619,101015.0656,13197.90624,7075.543553,882417.796,11103.91707
154.5,4317820.914,160671.4526,101387.1462,13258.31332,7115.042766,888554.5111,11192.62035
154.75,4311102.165,160698.8879,101730.5887,13318.49265,7154.53249,894713.515,11281.81801
155,4303436.513,161651.1499,102075.2557,13378.29612,7194.007387,900893.2681,11371.50992
155.25,4295785.851,162543.9,102442.3994,13437.8577,7233.461489,907094.8351,11461.69587
155.5,4289062.556,162493.3794,102802.0768,13497.3131,7272.892778,913319.4064,11552.37559
155.75,4282295.842,162493.2706,103133.037,13556.50825,7312.29992,919565.4932,11643.5488
156,4274580.99,163420.5082,103464.7016,13615.30202,7351.677353,925831.6052,11735.21519
156.25,4266880.337,164290.1448,103818.4527,13673.8325,7391.019236,932118.8396,11827.37435
156.5,4260112.461,164211.9876,104164.7493,13732.2199,7430.323548,938428.2332,11920.02584
156.75,4253302.959,164183.6424,104482.0019,13790.31529,7469.588519,944758.3233,12013.16918
157,4245540.87,165088.1259,104799.769,13847.98099,7508.808588,951107.6421,12106.80388
157.25,4237794.587,165934.3319,105139.5845,13905.35122,7547.977795,957477.2379,12200.92933
157.5,4230990.999,165823.983,105471.6443,13962.55153,7587.093983,963868.1835,12295.54491
157.75,4224143.918,165766.8262,105774.0184,14019.43236,7626.155354,970278.9998,12390.64994
158,4216336.973,166650.6317,106077.014,14075.84799,7665.156316,976708.1337,12486.24373
158.25,4208549.614,167473.1275,106402.3102,14131.93126,7704.090564,983156.6008,12582.3255
158.5,4201712.562,167332.7675,106719.4007,14187.82251,7742.955773,989625.597,12678.8944
158.75,4194833.206,167245.6884,107006.4548,14243.36635,7781.750364,996113.5848,12775.94957
159,4186991.05,168103.6645,107293.9588,14298.41276,7820.468535,1002618.955,12873.49012
159.25,4179170.038,168899.8314,107603.6585,14353.09912,7859.103892,1009142.754,12971.51506
159.5,4172303.334,168730.3043,107904.9805,14407.56309,7897.654073,1015686.14,13070.02335
159.75,4165396.849,168612.7004,108176.1113,14461.64882,7936.117383,1022247.559,13169.01392
160,4157527.225,169441.8057,108447.3689,14515.20949,7974.487905,1028825.417,13268.48567
160.25,4149679.308,170209.7852,108740.5523,14568.38473,8012.759277,1035420.773,13368.43743
160.5,4142789.362,170009.5479,109025.2827,14621.30486,8050.929133,1042034.705,13468.86792
160.75,4135861.133,169861.0477,109279.564,14673.81653,8088.995555,1048665.667,13569.7759
161,4127968.464,170661.7663,109533.8113,14725.77462,8126.952614,1055312.071,13671.16005
161.25,4120099.045,171400.9981,109809.8827,14777.31706,8164.793884,1061974.944,13773.01898
161.5,4113191.189,171169.6806,110077.3082,14828.57644,8202.516926,1068655.377,13875.35123
161.75,4106246.761,170989.6525,110314.1185,14879.39774,8240.119794,1075351.795,13978.15532
162,4098337.834,171760.2276,110550.6643,14929.63734,8277.596475,1082062.61,14081.42975
162.25,4090453.393,172469.3456,110808.8636,14979.43413,8314.940546,1088788.851,14185.17289
162.5,4083533.535,172206.1635,111058.278,15028.91837,8352.149541,1095531.572,14289.38308
162.75,4076578.484,171994.2117,111276.8928,15077.93591,8389.221423,1102289.195,14394.05864
163,4068658.793,172734.3146,111495.0736,15126.34376,8426.150164,1109060.127,14499.19784
163.25,4060765.394,173412.4217,111734.7939,15174.28053,8462.929305,1115845.381,14604.79887
163.5,4053840.51,173115.6423,111965.5387,15221.87778,8499.556349,1122646.015,14710.85983
163.75,4046880.344,172871.6545,112165.1679,15268.98208,8536.029256,1129460.443,14817.37883
164,4038954.645,173581.8238,112364.3583,15315.44679,8572.342024,1136287.03,14924.35393
164.25,4031057.902,174228.5377,112585.1115,15361.40985,8608.488054,1143126.768,15031.7831
164.5,4024132.107,173899.3532,112796.633,15407.00992,8644.464805,1149980.768,15139.66424
164.75,4017172.371,173622.968,112976.8863,15452.09125,8680.270374,1156847.418,15247.99525
165,4009248.833,174300.3671,113156.5677,15496.50565,8715.898699,1163725.054,15356.77396
165.25,4001355.697,174914.2329,113357.658,15540.39313,8751.343189,1170614.677,15465.99814
165.5,3994433.793,174553.2659,113549.4075,15583.89096,8786.601324,1177517.376,15575.66546
165.75,3987479.959,174244.3789,113709.8426,15626.84378,8821.671189,1184431.53,15685.77362
166,3979565.581,174887.4429,113869.5177,15669.10546,8856.546723,1191355.486,15796.32023
166.25,3971682.625,175467.4174,114050.376,15710.81667,8891.221403,1198290.24,15907.30284
166.5,3964770.65,175074.1461,114221.8365,15752.11158,8925.692754,1205236.844,16018.71894
166.75,3957828.222,174732.8238,114361.9134,15792.83643,8959.958815,1212193.68,16130.56597
167,3949928.451,175341.6323,114501.1186,15832.84648,8994.013582,1219159.097,16242.84137
167.25,3942061.586,175887.3109,114661.3514,15872.28157,9027.850572,1226134.077,16355.54245
167.5,3935165.333,175461.5028,114812.0875,15911.27668,9061.467335,1233119.666,16468.6665
167.75,3928239.809,175087.8196,114931.376,15949.67853,9094.861962,1240114.245,16582.21075
168,3920360.533,175662.0545,115049.7174,15987.34237,9128.028503,1247116.152,16696.17242
168.25,3912515.806,176172.9672,115188.9523,16024.40785,9160.960512,1254126.357,16810.54863
168.5,3905640.432,175715.0565,115318.5962,16061.01119,9193.655584,1261145.912,16925.33644
168.75,3898737.219,175309.1615,115416.7879,16096.99939,9226.11189,1268173.187,17040.53288
169,3890884.892,175847.9598,115513.9419,16132.22812,9258.32354,1275206.52,17156.13497
169.25,3883068.512,176323.5334,115631.8193,16166.83733,9290.284167,1282246.874,17272.13961
169.5,3876219.259,175833.9014,115740.0542,16200.9628,9321.991434,1289295.287,17388.54365
169.75,3869343.662,175396.0927,115816.8721,16234.45249,9353.443582,1296350.133,17505.34394
170,3861524.356,175898.9878,115892.572,16267.16311,9384.634808,1303409.749,17622.53726
170.25,3853742.322,176338.8565,115988.8178,16299.23445,9415.558841,1310475.09,17740.12034
170.5,3846924.441,175817.8809,116075.39,16330.80187,9446.213434,1317547.183,17858.08983
170.75,3840081.686,175348.5426,116130.6135,16361.71446,9476.596906,1324624.404,17976.44234
171,3832301.27,175815.2723,116184.6551,16391.82999,9506.703564,1331705.094,18095.1745
171.25,3824559.43,176219.2074,116259.0657,16421.28797,9536.527251,1338790.199,18214.2828
171.5,3817778.059,175667.3648,116323.7879,16450.22349,9566.06582,1345880.735,18333.76371
171.75,3810973.263,175166.9718,116357.2632,16478.4868,9595.317691,1352975.083,18453.61366
172,3803237.493,175597.368,116389.5075,16505.93679,9624.277298,1360071.588,18573.82905
172.25,3795541.568,175965.2434,116441.9434,16532.71261,9652.938615,1367171.187,18694.40622
172.5,3788801.684,175383.1434,116484.6946,16558.94909,9681.29961,1374274.888,18815.34141
172.75,3782039.837,174852.2613,116496.3381,16584.49769,9709.358821,1381381.076,18936.63088
173,3774354.367,175246.2168,116506.7124,16609.21861,9737.110824,1388488.103,19058.27085
173.25,3766709.948,175578.0001,116537.0965,16633.25059,9764.549747,1395596.898,19180.25745
173.5,3760015.447,174967.2767,116557.8331,16656.72772,9791.673687,1402708.455,19302.58675
173.75,3753301.366,174406.4682,116547.7671,16679.50195,9818.481306,1409821.161,19425.25484
174,3745672.995,174762.6661,116536.2739,16701.43801,9844.9673,1416933.402,19548.25773
174.25,3738085.941,175058.0662,116544.4903,16722.67502,9871.126067,1424046.109,19671.59139
174.5,3731442.381,174418.6664,116543.187,16743.3408,9896.955878,1431160.217,19795.25171
174.75,3724780.819,173828.7463,116511.3173,16763.29103,9922.45542,1438274.137,19919.2346
175,3717213.328,174148.8474,116477.9952,16782.39338,9947.619615,1445386.28,20043.53591
175.25,3709688.406,174408.4425,116464.2147,16800.78483,9972.443042,1452497.557,20168.15142
175.5,3703102.937,173738.6324,116440.9285,16818.59446,9996.924118,1459608.907,20293.07687
175.75,3696498.345,173120.7773,116387.0624,16835.68077,10021.06172,1466718.765,20418.30799
176,3688994.188,173407.7132,116332.0008,16851.9067,10044.85105,1473825.499,20543.84047
176.25,3681535.281,173632.8065,116296.564,16867.4065,10068.28667,1480929.986,20669.66993
176.5,3675009.815,172935.9233,116251.5168,16882.32066,10091.3671,1488033.265,20795.79195
176.75,3668466.715,172290.5957,116176.1395,16896.505,10114.09166,1495133.751,20922.2021
177,3661033.768,172541.6736,116099.5886,16909.82111,10136.45565,1502229.797,21048.89591
177.25,3653647.01,172731.5088,116042.4537,16922.40581,10158.45386,1509322.299,21175.86885
177.5,3647183.745,172010.5375,115975.8596,16934.39552,10180.08505,1516412.261,21303.11635
177.75,3640706.066,171338.7249,115879.476,16945.64729,10201.34863,1523498.103,21430.63383
178,3633351.617,171551.7479,115781.7004,16956.03042,10222.2401,1530578.248,21558.41669
178.25,3626042.472,171706.1197,115702.9002,16965.68315,10242.75465,1537653.61,21686.46024
178.5,3619646.825,170960.7743,115614.9472,16974.72891,10262.89131,1544725.073,21814.75977
178.75,3613238.543,170263.783,115497.5702,16983.03136,10282.64947,1551791.112,21943.31058
179,3605964.361,170442.0004,115378.8438,16990.46482,10302.0249,1558850.197,22072.10791
179.25,3598736.132,170562.4206,115278.9222,16997.16298,10321.01309,1565903.202,22201.14696
179.5,3592415.128,169790.624,115169.9264,17003.25199,10339.61322,1572951.033,22330.42289
179.75,3586080.134,169069.7455,115031.574,17008.5982,10357.82494,1579992.193,22459.93086
180,3578887.08,169217.2055,114892.2259,17013.07091,10375.64435,1587025.107,22589.666
180.25,3571742.779,169305.3114,114771.8101,17016.79985,10393.06697,1594050.609,22719.62339
180.5,3565497.495,168510.7046,114642.2555,17019.92492,10410.0921,1601069.73,22849.79806
180.75,3559239.775,167766.3535,114483.7078,17022.30907,10426.71991,1608080.949,22980.18506
181,3552134.821,167880.7305,114324.2263,17023.81975,10442.94666,1615082.676,23110.77941
181.25,3545080.126,167935.6992,114183.4639,17024.59022,10458.76813,1622075.777,23241.57608
181.5,3538923.247,167110.3427,114033.639,17024.75756,10474.18389,1629061.26,23372.57
181.75,3532761.275,166330.3468,113853.4185,17024.20576,10489.19437,1636037.803,23503.7561
182,3525755.239,166406.2517,113673.1715,17022.7805,10503.79668,1643003.632,23635.12933
182.25,3518792.622,166432.0677,113510.8223,17020.57727,10517.986,1649959.24,23766.68456
182.5,3512700.593,165604.5484,113340.9199,17017.77085,10531.76211,1656905.989,23898.41661
182.75,3506605.825,164818.7246,113143.6049,17014.20798,10545.12503,1663842.193,24030.32033
183,3499697.384,164860.8392,112944.8786,17009.796,10558.07168,1670766.64,24162.39057
183.25,3492834.604,164851.5524,112763.7614,17004.66596,10570.59878,1677680.195,24294.62208
183.5,3486829.335,164004.2227,112574.2756,16998.91812,10582.70646,1684583.532,24427.00964
183.75,3480812.198,163208.0432,112358.0474,16992.43762,10594.39518,1691475.331,24559.54799
184,3474005.211,163215.6574,112142.1522,16985.08953,10605.6623,1698353.996,24692.23191
184.25,3467265.844,163152.6371,111942.1188,16977.05213,10616.50312,1705220.788,24825.0561
184.5,3461349.295,162288.1923,111732.7049,16968.42533,10626.92032,1712076.447,24958.01524
184.75,3455410.697,161484.5508,111498.587,16959.03732,10636.91405,1718919.109,25091.10404
185,3448690.986,161476.7242,111265.2839,16948.7834,10646.48038,1725747.425,25224.31723
185.25,3442029.067,161408.1229,111048.7749,16937.8634,10655.6166,1732562.906,25357.64941
185.5,3436204.168,160523.9571,110824.1051,16926.34868,10664.32464,1739366.001,25491.09522
185.75,3430377.918,159682.428,110572.8788,16914.12511,10672.60498,1746155.396,25624.64933
186,3423767.746,159641.8387,110320.8911,16901.07668,10680.45574,1752929.685,25758.30638
186.25,3417211.371,159545.148,110086.5312,16887.3286,10687.8741,1759689.686,25892.061
186.5,3411478.506,158647.0705,109844.4064,16872.99854,10694.86102,1766436.25,26025.90776
186.75,3405746.012,157790.2349,109576.4887,16857.96793,10701.41777,1773168.038,26159.84131
187,3399230.656,157734.091,109308.0703,16842.12263,10707.54238,1779883.662,26293.85625
187.25,3392768.771,157621.6165,109059.0683,16825.57113,10713.23251,1786583.794,26427.94717
187.5,3387153.689,156686.2725,108801.4461,16808.45952,10718.48866,1793269.536,26562.10864
187.75,3381519.611,155814.3789,108515.3542,16790.74333,10723.31303,1799940.264,26696.33525
188,3375100.932,155744.4355,108230.7297,16772.17161,10727.70668,1806593.403,26830.62161
188.25,3368756.972,155599.7799,107963.3991,16752.93326,10731.66435,1813230.29,26964.96231
188.5,3363196.352,154693.8292,107690.6685,16733.11231,10735.18826,1819851.498,27099.35191
188.75,3357660.722,153804.656,107393.9723,16712.62073,10738.27942,1826455.965,27233.785
189,3351385.04,153677.1878,107094.4298,16691.38997,10740.93709,1833042.76,27368.25617
189.25,3345125.417,153533.29,106813.6397,16669.48985,10743.16061,1839612.243,27502.75999
189.5,3339672.493,152606.1011,106526.8507,16647.04009,10744.95058,1846165.274,27637.29104
189.75,3334242.724,151698.7865,106215.4782,16623.96063,10746.30915,1852700.898,27771.84391
190,3328081.359,151544.9596,105902.051,16600.14475,10747.23585,1859217.837,27906.4132
190.25,3321953.821,151359.3984,105605.7185,16575.68424,10747.72991,1865716.654,28040.99353
190.5,3316602.468,150421.3146,105304.1322,16550.67799,10747.79256,1872198.035,28175.57946
190.75,3311272.324,149505.5345,104978.5057,16525.04412,10747.42568,1878661,28310.16564
191,3305226.153,149328.2272,104651.1082,16498.69325,10746.62902,1885104.442,28444.74668
191.25,3299210.741,149123.2565,104340.6814,16471.71283,10745.40196,1891528.889,28579.31721
191.5,3293970.889,148167.1504,104025.1128,16444.20133,10743.74594,1897935.029,28713.87186
191.75,3288755.268,147232.4016,103684.1793,16416.08807,10741.66303,1904321.995,28848.40526
192,3282806.421,147052.6895,103342.9433,16387.27262,10739.15399,1910688.608,28982.91209
192.25,3276909.041,146823.8649,103020.7534,16357.79592,10736.21737,1917034.94,29117.38702
192.5,3271781.903,145851.6979,102691.4693,16327.8384,10732.85345,1923362.413,29251.8247
192.75,3266649.745,144929.7078,102337.8126,16297.31784,10729.06702,1929670.13,29386.21979
193,3260811.744,144734.9264,101985.5729,16266.06607,10724.85818,1935956.265,29520.56702
193.25,3255040.08,144477.6377,101651.4504,16234.19701,10720.22459,1942221.55,29654.86113
193.5,3250017.96,143498.3959,101310.1652,16201.87759,10715.16856,1948467.336,29789.09676
193.75,3244989.278,142570.8266,100945.3244,16169.01299,10709.69418,1954692.595,29923.26868
194,3239269.186,142356.7296,100581.8538,16135.44508,10703.80201,1960895.611,30057.37165
194.25,3233606.088,142090.2266,100236.4562,16101.27986,10697.49026,1967077.059,30191.40045
194.5,3228684.103,141110.3743,99884.42085,16066.68564,10690.76113,1973238.305,30325.34983
194.75,3223758.696,140179.211,99509.34287,16031.56871,10683.61917,1979378.347,30459.21457
195,3218157.33,139946.4535,99135.8785,15995.77444,10676.06507,1985495.509,30592.98955
195.25,3212621.063,139654.1657,98780.12014,15959.40856,10668.09737,1991590.476,30726.6696
195.5,3207805.052,138669.9763,98417.79377,15922.63387,10659.71856,1997664.576,30860.24954
195.75,3202983.976,137735.9741,98033.19652,15885.35907,10650.93331,2003716.837,30993.72424
196,3197501.495,137486.3845,97650.22516,15847.43361,10641.74257,2009745.631,31127.08865
196.25,3192075.046,137187.0011,97284.88632,15808.95966,10632.14519,2015751.624,31260.33768
196.5,3187359.972,136204.6705,96913.5014,15770.09923,10622.14382,2021736.147,31393.46625
196.75,3182642.863,135269.5456,96520.36101,15730.76305,10611.74334,2027698.255,31526.46932
197,3177279.726,135003.7389,96129.08292,15690.80358,10600.94493,2033636.362,31659.34192
197.25,3171980.231,134681.4036,95755.0731,15650.32274,10589.74771,2039551.143,31792.07907
197.5,3167371.359,133697.3499,95375.09439,15609.47704,10578.15459,2045443.889,31924.67577
197.75,3162758.757,132761.951,94974.12653,15568.17954,10566.17055,2051313.688,32057.12709
198,3157514.68,132481.7712,94575.03628,15526.28674,10553.797,2057159.001,32189.42816
198.25,3152325.477,132154.4043,94193.13025,15483.89703,10541.03336,2062980.484,32321.57412
198.5,3147817.666,131174.5305,93805.76464,15441.1659,10527.88267,2068779.43,32453.56006
198.75,3143309.042,130240.3388,93397.92535,15398.0085,10514.35007,2074554.954,32585.38117
199,3138184.164,129946.3337,92992.18951,15354.28423,10500.43721,2080305.559,32717.0327
199.25,3133121.287,129598.7826,92603.27656,15310.0911,10486.14374,2086031.909,32848.50988
199.5,3128719.261,128619.6354,92208.98525,15265.5792,10471.47291,2091735.258,32979.80796
199.75,3124314.685,127687.5684,91794.97549,15220.66588,10456.42996,2097414.753,33110.92222
200,3119308.319,127381.5732,91383.08515,15175.21455,10441.01675,2103068.943,33241.84803
200.25,3114355.497,127030.9706,90987.92292,15129.3197,10425.23317,2108698.475,33372.58076
200.5,3110054.043,126058.1497,90587.87572,15083.13026,10409.08261,2114304.603,33503.11578
200.75,3105752.839,125129.4543,90168.62043,15036.56561,10392.57044,2119886.502,33633.44851
201,3100864.837,124811.9402,89751.69781,14989.49203,10375.69868,2125442.76,33763.57444
201.25,3096037.04,124443.8217,89351.14465,14942.00348,10358.46748,2130974.034,33893.48909
201.5,3091840.371,123473.9909,88945.78865,14894.24358,10340.88039,2136481.537,34023.18794
201.75,3087642.186,122549.631,88521.96363,14846.13383,10322.94285,2141964.476,34152.66657
202,3082871.501,122222.4043,88100.48573,14797.54443,10304.65708,2147421.486,34281.92061
202.25,3078152.883,121853.1047,87695.27171,14748.56586,10286.02342,2152853.206,34410.94571
202.5,3074055.746,120891.5538,87285.7294,14699.34045,10267.04552,2158260.848,34539.7375
202.75,3069959.777,119972.5466,86858.21878,14649.79168,10247.72896,2163643.645,34668.29171
203,3065306.004,119635.9953,86433.25419,14599.79254,10228.07607,2169000.274,34796.60411
203.25,3060710.513,119251.7213,86024.19731,14549.43291,10208.08741,2174331.377,34924.67049
203.5,3056716.649,118295.2222,85610.89248,14498.84985,10187.7668,2179638.133,35052.48666
203.75,3052722.165,117382.5586,85180.33784,14447.96892,10167.11982,2184919.801,35180.04847
204,3048183.942,117038.4434,84752.34028,14396.6669,10146.14898,2190175.106,35307.35187
204.25,3043696.187,116654.7286,84340.13412,14345.03023,10124.85501,2195404.673,35434.3928
204.5,3039800.329,115708.2595,83924.13335,14293.19462,10103.2418,2200609.674,35561.16722
204.75,3035906.421,114802.7339,83491.36985,14241.08753,10081.31503,2205789.401,35687.67114
205,3031483.119,114451.3554,83061.3467,14188.58843,10059.07731,2210942.613,35813.90068
205.25,3027116.073,114055.0603,82646.76121,14135.78307,10036.52957,2216069.941,35939.85193
205.5,3023321.527,113115.4932,82228.45729,14082.80202,10013.67578,2221172.524,36065.52101
205.75,3019527.129,112218.1079,81794.08494,14029.57472,9990.521656,2226249.678,36190.90412
206,3015217.113,111861.1676,81362.45902,13975.98432,9967.069938,2231300.209,36315.99751
206.25,3010955.866,111467.0277,80946.144,13922.11321,9943.321679,2236324.73,36440.79746
206.5,3007257.38,110539.0306,80526.54081,13868.09049,9919.280926,2241324.376,36565.30027
